Location: O
Booth ID: 162
Total staff: 17

staff_code,name,phone_number,staff_type
308c9f68-d211-471e-b641-162114fddac1,kids play ground,N/A,VIP
f41a9fba-a953-4f2e-8284-969846d95ff9,kids play ground,N/A,Staff
4ad43f47-3f3a-4a5b-b2c4-f7c6669b3e66,kids play ground,N/A,Staff
9e7a13b7-0915-4042-8e29-b515bb380190,kids play ground,N/A,Staff
9fd64d3c-d128-43e0-9878-942bdade568b,kids play ground,N/A,Staff
a152a04e-b514-4151-b106-78e5ed9afcec,kids play ground,N/A,Staff
a947d5ab-5065-4d21-8fe6-5468b00766f8,kids play ground,N/A,Staff
68247e9c-8703-4102-909b-8ccb0794ddc3,kids play ground,N/A,Staff
7fbb1b46-078d-4e5d-9c29-c6206c79fc30,kids play ground,N/A,Staff
ea1f8eb3-d767-4ab9-9dd4-479b33ec6242,kids play ground,N/A,Staff
ba92071e-3c6b-4495-b37c-e42815940d3b,kids play ground,N/A,Staff
3da54cca-72ed-412a-8a60-3b2099a84aa0,kids play ground,N/A,Staff
3540d06b-20e4-4892-9459-f73ce5d78ef0,kids play ground,N/A,Staff
ca56909c-57f2-4dd1-bf56-f32b16038e27,kids play ground,N/A,Staff
d8ac8bc5-9f78-4c43-9770-dd68e309b5ca,kids play ground,N/A,Staff
cf5918ca-53e7-43da-a949-068d9d0337bc,kids play ground,N/A,Staff
3d01cc22-37eb-47a9-83d7-ac2929a4a6c3,kids play ground,N/A,Staff
