Location: O
Booth ID: 160
Total staff: 16

staff_code,name,phone_number,staff_type
c27bd0cd-fb1a-4d39-96ec-a9d0797b7365,Turkey,N/A,VIP
96ffff25-38ce-4d1c-bf9b-e764310c3d0c,Turkey,N/A,Staff
e86eacc5-a50b-4367-8a82-180fd990c01e,Turkey,N/A,Staff
c019ff8f-ffd6-4d41-8bfe-ba470264506e,Turkey,N/A,Staff
a970935b-2145-4886-8f97-bbea5b6dc327,Turkey,N/A,Staff
d134d377-8157-4d72-a403-63a73d9d2458,Turkey,N/A,Staff
203b28ee-5c14-4440-aebd-38e81c3a2757,Turkey,N/A,Staff
24fe34ac-b372-4a04-ac30-de870fc76cc6,Turkey,N/A,Staff
80e1dbc8-b98c-4763-9963-134e52e4d48c,Turkey,N/A,Staff
692d7589-b193-48c8-8872-796f646f9dac,Turkey,N/A,Staff
448fca61-5b06-4de7-b89a-ed84b5a628de,Turkey,N/A,Staff
8ae30f6b-e966-49dc-8a24-2729dd78861a,Turkey,N/A,Staff
f89f10e1-acd0-48ef-81a7-da7c208e7704,Turkey,N/A,Staff
0fd5815f-73e6-4cde-bce9-91154b3179ab,Turkey,N/A,Staff
00914854-3b6a-450b-b0bc-9d4df06966be,Turkey,N/A,Staff
3c735a6c-7a3d-46d9-bca3-0317f124dbcb,Turkey,N/A,Staff
